SCHOOL_NUMBER,ELIGIBLE_TO_GRADUATE_COUNT,GRADUATED_COUNT,ELIGIBLE_GRADUATION_RATE_PCT,HONOURS_COUNT,HONOURS_PERCENT
4343076,198.90277777777777,186.875,91.70833333333333,96.09722222222223,42.708333333333336
4343080,189.875,182.265625,95.953125,98.859375,45.90625
4343088,188.6153846153846,178.13846153846154,93.32307692307693,106.16923076923077,48.92307692307692
4343125,198.21311475409837,187.21311475409837,94.1311475409836,110.77049180327869,50.81967213114754
4343127,190.23809523809524,185.46031746031747,97.06349206349206,109.01587301587301,54.65079365079365
4343130,205.65151515151516,195.74242424242425,93.51515151515152,124.93939393939394,54.43939393939394
4343132,172.8,165.70666666666668,94.58666666666667,77.26666666666667,38.77333333333333
4343136,212.44736842105263,204.51315789473685,95.67105263157895,89.51315789473684,35.73684210526316
4396349,24.574468085106382,16.851063829787233,68.40425531914893,2.6382978723404253,10.27659574468085
4396579,14.206896551724139,13.03448275862069,91.86206896551724,7.413793103448276,54.172413793103445
4396588,12.272727272727273,12.0,97.81818181818181,9.181818181818182,75.27272727272727
4396629,102.46,102.0,99.48,65.26,63.96
4399143,39.86666666666667,26.77777777777778,68.28888888888889,3.533333333333333,10.133333333333333
4399210,10.0,8.0,80.0,1.0,10.0
4399220,10.666666666666666,9.666666666666666,90.66666666666667,3.6666666666666665,34.0
4444000,38.125,32.083333333333336,81.41666666666667,4.75,9.583333333333334
4444012,132.38181818181818,121.78181818181818,91.89090909090909,59.61818181818182,43.527272727272724
4444022,192.43103448275863,184.67241379310346,95.03448275862068,112.70689655172414,54.827586206896555
4444025,190.140350877193,186.5438596491228,97.85964912280701,126.05263157894737,62.228070175438596
4444026,106.05172413793103,101.56896551724138,95.53448275862068,60.224137931034484,53.36206896551724
4444036,136.04347826086956,127.46376811594203,92.42028985507247,67.76811594202898,42.14492753623188
4444047,101.07272727272728,98.61818181818182,97.30909090909091,65.23636363636363,62.56363636363636
4496062,89.62,88.84,99.04,55.86,61.62
4496214,15.142857142857142,13.571428571428571,88.92857142857143,11.5,74.92857142857143
4496551,89.02,83.74,93.5,38.8,42.48
4496606,16.526315789473685,16.36842105263158,99.36842105263158,8.947368421052632,53.10526315789474
4496803,15.935483870967742,14.064516129032258,87.25806451612904,6.548387096774194,41.096774193548384
4499176,24.842105263157894,18.026315789473685,73.97368421052632,3.0526315789473686,13.078947368421053
4499191,14.75,13.107142857142858,90.03571428571429,4.107142857142857,28.107142857142858
4545010,159.05769230769232,156.07692307692307,98.21153846153847,108.46153846153847,66.07692307692308
4545015,192.38235294117646,187.5,96.63235294117646,112.77941176470588,50.63235294117647
4545081,118.39344262295081,115.8360655737705,97.60655737704919,69.32786885245902,54.78688524590164
4596367,87.6,87.52,99.9,67.66,77.04
4596701,48.26,48.18,99.88,39.44,80.98
4646008,76.84745762711864,75.64406779661017,98.55932203389831,37.559322033898304,47.610169491525426
4646012,20.068181818181817,18.75,93.52272727272727,7.090909090909091,37.97727272727273
4646017,72.84210526315789,71.0,97.71929824561404,33.29824561403509,43.78947368421053
4699076,16.44,15.04,91.56,4.68,30.16
4699160,10.5,10.0,95.5,2.5,23.5
4747000,30.9,26.7,87.5,8.1,26.8
4747021,107.1044776119403,97.88059701492537,90.71641791044776,35.791044776119406,30.029850746268657
4799161,11.428571428571429,9.142857142857142,80.14285714285714,7.0,61.714285714285715
4848004,112.59701492537313,107.82089552238806,95.04477611940298,50.19402985074627,39.08955223880597
4848021,29.35593220338983,28.35593220338983,96.37288135593221,11.64406779661017,38.271186440677965
4848022,50.4,49.52,98.26,33.52,65.64
4899215,13.3,11.3,84.8,0.8,6.0
4949002,13.0,12.882352941176471,99.17647058823529,5.352941176470588,41.8235294117647
4997012,15.2,13.5,89.2,2.5,16.5
501006,38.6,36.7,95.3,9.1,23.6
501016,29.166666666666668,29.166666666666668,100.0,2.6666666666666665,7.833333333333333
502001,161.86153846153846,157.1846153846154,96.9076923076923,62.53846153846154,35.16923076923077
505000,15.333333333333334,15.0,98.33333333333333,2.4166666666666665,15.666666666666666
5050001,15.166666666666666,13.166666666666666,87.43333333333334,4.3,28.266666666666666
5050012,16.11627906976744,15.69767441860465,97.11627906976744,5.325581395348837,32.72093023255814
505032,56.18181818181818,54.72727272727273,98.0,21.272727272727273,38.18181818181818
505033,19.463414634146343,19.365853658536587,99.39024390243902,6.634146341463414,34.853658536585364
505034,47.19047619047619,45.595238095238095,96.9047619047619,19.285714285714285,41.26190476190476
505035,32.5,31.475,96.875,9.45,29.075
5112002,55.46666666666667,53.8,96.75,21.6,38.3
5113010,20.122448979591837,19.79591836734694,98.16326530612245,10.510204081632653,52.46938775510204
5252009,56.0,50.666666666666664,89.2,18.533333333333335,31.166666666666668
5252018,62.28125,58.203125,93.25,21.8125,32.328125
5314001,59.44642857142857,57.535714285714285,96.375,22.964285714285715,36.714285714285715
5314008,36.0,34.54,95.86,16.34,45.48
5316004,26.849056603773583,26.11320754716981,96.94339622641509,11.566037735849056,42.471698113207545
5353000,12.0,11.333333333333334,94.66666666666667,4.0,34.0
5399162,13.0,11.0,85.0,1.0,8.0
5454011,29.313725490196077,28.745098039215687,98.17647058823529,9.666666666666666,32.490196078431374
5454013,88.6,86.2,96.9,38.4,41.21666666666667
5496064,11.8,11.8,100.0,6.4,55.0
5496091,10.777777777777779,10.11111111111111,93.77777777777777,4.166666666666667,39.388888888888886
5496124,17.833333333333332,17.833333333333332,100.0,9.380952380952381,54.61904761904762
5499182,15.0,12.0,80.0,3.0,20.0
5757000,12.0,11.5,95.0,0.625,4.875
5757012,93.38333333333334,87.45,92.88333333333334,40.983333333333334,41.666666666666664
5757036,165.85714285714286,154.85714285714286,93.0,66.12698412698413,38.25396825396825
5757047,113.11475409836065,106.88524590163935,94.06557377049181,38.08196721311475,33.36065573770492
5757074,16.607142857142858,16.178571428571427,97.92857142857143,6.571428571428571,40.0
5757075,16.29268292682927,15.951219512195122,97.8048780487805,8.658536585365853,53.78048780487805
5757079,30.59259259259259,28.944444444444443,94.61111111111111,9.333333333333334,30.90740740740741
5757100,85.64406779661017,81.64406779661017,94.7457627118644,35.08474576271186,38.86440677966102
5757101,95.76666666666667,90.8,94.2,36.3,34.983333333333334
5796230,23.565217391304348,23.217391304347824,98.3695652173913,16.608695652173914,67.84782608695652
