SCHOOL_NUMBER,ELIGIBLE_TO_GRAD_COUNT,GRAD_COUNT,GRADUATION_RATE,HONOURS_GRAD_COUNT,HONOURS_GRADUATION_RATE
03696309,23.614035087719298,23.333333333333332,98.96491228070175,18.666666666666668,80.54385964912281
03696394,88.52380952380952,88.2063492063492,99.60317460317461,70.74603174603175,79.0952380952381
03696476,34.266666666666666,33.666666666666664,98.45,19.166666666666668,53.18333333333333
03696585,21.545454545454547,21.545454545454547,100.0,18.363636363636363,85.18181818181819
03696610,53.2,53.054545454545455,99.74545454545455,47.10909090909091,88.32727272727273
03696669,52.8,52.8,100.0,46.4,87.8
03696720,37.40384615384615,29.25,81.21153846153847,22.01923076923077,60.61538461538461
03696830,15.307692307692308,11.153846153846153,72.76923076923077,2.6923076923076925,16.53846153846154
03699057,17.565217391304348,14.826086956521738,84.02173913043478,2.391304347826087,12.195652173913043
03699059,12.178571428571429,10.785714285714286,88.75,1.2142857142857142,9.892857142857142
03699062,17.483870967741936,15.32258064516129,86.6774193548387,2.4838709677419355,11.193548387096774
03699064,15.818181818181818,14.772727272727273,93.4090909090909,2.5,15.954545454545455
03699121,18.244897959183675,14.46938775510204,78.6938775510204,1.1428571428571428,6.469387755102041
03699142,102.76923076923077,61.98461538461538,62.90769230769231,15.76923076923077,16.49230769230769
03737000,16.375,10.791666666666666,66.83333333333333,0.8333333333333334,5.208333333333333
03737003,166.17333333333335,161.69333333333333,96.61333333333333,72.81333333333333,39.74666666666667
03737012,134.90666666666667,126.85333333333334,92.74666666666667,49.74666666666667,32.8
03737021,74.75324675324676,71.53246753246754,94.44155844155844,30.16883116883117,35.311688311688314
03737034,92.22388059701493,88.95522388059702,95.83582089552239,39.44776119402985,39.23880597014925
03737037,163.84722222222223,159.55555555555554,96.95833333333333,84.23611111111111,47.0
03737038,93.33333333333333,91.13888888888889,96.66666666666667,36.75,35.40277777777778
03737040,166.73239436619718,160.50704225352112,95.88732394366197,89.6056338028169,49.929577464788736
03796694,29.24561403508772,29.035087719298247,99.3157894736842,23.105263157894736,77.84210526315789
03799170,16.16,9.48,62.8,0.56,3.88
03838000,42.035714285714285,33.285714285714285,77.78571428571429,3.3035714285714284,8.928571428571429
03838024,88.77941176470588,84.76470588235294,95.08823529411765,45.01470588235294,50.088235294117645
03838031,91.80555555555556,85.91666666666667,92.25,41.291666666666664,43.666666666666664
03838033,132.6417910447761,129.4179104477612,97.26865671641791,85.85074626865672,63.88059701492537
03838042,153.51388888888889,146.95833333333334,95.05555555555556,93.70833333333333,59.19444444444444
03838044,120.68493150684931,111.08219178082192,90.27397260273973,52.0,39.31506849315068
03838045,166.82191780821918,159.3835616438356,94.73972602739725,108.56164383561644,62.61643835616438
03838058,106.046875,99.75,93.40625,50.234375,46.671875
03838062,161.53125,156.484375,97.078125,94.265625,56.828125
03838064,92.24615384615385,86.92307692307692,93.35384615384615,52.33846153846154,53.90769230769231
03838065,164.47222222222223,160.27777777777777,97.15277777777777,115.5,69.05555555555556
