,MINCODE,DISTRICT_NUMBER_x,NUM_OF_SCHOOLS_IN_DATA_LEVEL,TOTAL_CLASSES,CLASSES_WITH_ED_ASSIST,TOTAL_CLASSES_GREATER_30,AVG_CLASS_SIZE_K,AVG_CLASS_SIZE_1_3,AVG_CLASS_SIZE_4_7,AVG_CLASS_SIZE_8_12,SCHOOL_NUMBER,DISTRICT_NUMBER_y,GRADE_8,GRADE_9,GRADE_10,GRADE_11,GRADE_12
35,02222017,22.0,1,166.07692307692307,20.317719092204637,8.617429082545364,18.04641057474624,20.101066897347074,24.509139543872998,23.199999999999996,02222017,22.0,10040.0,8719.0,8997.0,9692.0,7959.0
36,02222019,22.0,1,14.923076923076923,13.007520088384249,9.171096345514952,17.815384615384616,19.884615384615383,24.846153846153843,21.780282519128885,02222019,22.0,0.0,0.0,0.0,0.0,0.0
37,02222020,22.0,1,12.153846153846153,10.620398007640782,9.171096345514952,17.915384615384617,19.546153846153846,23.807692307692307,21.780282519128885,02222020,22.0,0.0,0.0,0.0,0.0,0.0
38,02222022,22.0,1,105.3076923076923,11.933103707589256,7.3734985944288285,18.04641057474624,20.101066897347074,24.52452415925761,23.33076923076923,02222022,22.0,5784.0,5502.0,5942.0,6423.0,5942.0
39,02222024,22.0,1,12.538461538461538,10.235782623025397,9.171096345514952,18.226646967288172,21.699999999999996,27.723076923076924,21.780282519128885,02222024,22.0,0.0,0.0,0.0,0.0,0.0
40,02222025,22.0,1,99.76923076923077,18.397148865255794,6.386659851776132,18.04641057474624,20.101066897347074,24.568234505862414,23.292307692307695,02222025,22.0,6855.0,5355.0,5232.0,4813.0,4453.0
41,02222026,22.0,1,16.615384615384617,13.315212396076557,9.171096345514952,20.026646967288173,21.315384615384612,25.97692307692308,21.780282519128885,02222026,22.0,0.0,0.0,0.0,0.0,0.0
42,02222027,22.0,1,63.69230769230769,16.01002678451233,6.887682085356506,18.04641057474624,20.101066897347074,23.202805308594215,20.49230769230769,02222027,22.0,2655.0,3005.0,3144.0,2950.0,2527.0
43,02299077,22.0,1,6.0,15.032587049665077,9.17109634551495,18.046410574746247,20.101066897347078,24.568234505862414,4.5,02299077,22.0,0.0,0.0,0.0,7.0,4.0
44,02299083,22.0,1,1.0,15.032587049665077,9.17109634551495,18.046410574746247,20.101066897347078,24.568234505862414,10.0,02299083,22.0,0.0,0.0,4.0,4.0,2.0
45,02299150,22.0,1,3.0,15.032587049665077,9.17109634551495,18.046410574746247,20.101066897347078,24.568234505862414,1.7,02299150,22.0,0.0,0.0,0.0,0.0,0.0
46,02299152,22.0,1,3.0,15.032587049665077,9.17109634551495,18.046410574746247,20.101066897347078,24.568234505862414,25.7,02299152,22.0,42.0,35.0,0.0,0.0,0.0
47,02323005,23.0,1,8.0,8.0,9.17109634551495,18.046410574746247,20.101066897347078,24.568234505862414,21.4,02323005,23.0,0.0,0.0,67.0,37.0,67.0
48,02323008,23.0,1,6.538461538461538,3.387122080743467,9.171096345514952,17.407692307692308,20.33076923076923,25.346153846153843,21.780282519128885,02323008,23.0,0.0,0.0,0.0,0.0,0.0
49,02323014,23.0,1,11.384615384615385,8.54096823458962,9.171096345514952,17.499999999999996,20.838461538461537,26.253846153846155,21.780282519128885,02323014,23.0,0.0,0.0,0.0,0.0,0.0
50,02323015,23.0,1,153.84615384615384,51.15384615384615,6.83503705596729,18.04641057474624,20.101066897347074,25.42307692307692,24.7923076923077,02323015,23.0,16074.0,15580.0,0.0,0.0,0.0
51,02323016,23.0,1,20.0,13.464045157666543,7.914004600051114,18.23076923076923,22.015384615384615,26.892307692307693,21.780282519128885,02323016,23.0,0.0,0.0,0.0,0.0,0.0
52,02323018,23.0,1,25.46153846153846,11.156352849974237,9.171096345514952,19.892307692307693,22.06153846153846,27.107692307692307,21.780282519128885,02323018,23.0,0.0,0.0,0.0,0.0,0.0
53,02323022,23.0,1,11.76923076923077,6.464045157666543,9.171096345514952,18.838461538461537,21.73076923076923,27.21538461538461,21.780282519128885,02323022,23.0,0.0,0.0,0.0,0.0,0.0
54,02323028,23.0,1,158.25,21.129073381208133,8.25,18.046410574746247,20.101066897347078,24.568234505862417,23.55,02323028,23.0,8110.0,6613.0,5307.0,5127.0,4240.0
55,02323029,23.0,1,250.84615384615384,79.23327592689732,10.57794531050345,18.04641057474624,20.101066897347074,25.476923076923075,25.38461538461539,02323029,23.0,23687.0,24333.0,0.0,0.0,0.0
56,02323030,23.0,1,18.307692307692307,6.464045157666543,9.171096345514952,18.153846153846153,21.75384615384616,27.638461538461534,21.780282519128885,02323030,23.0,0.0,0.0,0.0,0.0,0.0
57,02323031,23.0,1,11.692307692307692,9.233275926897313,9.171096345514952,19.03846153846154,19.06923076923077,25.58461538461539,21.780282519128885,02323031,23.0,0.0,0.0,0.0,0.0,0.0
58,02323032,23.0,1,18.692307692307693,9.848660542281928,9.171096345514952,19.52307692307692,22.446153846153848,28.04615384615385,21.780282519128885,02323032,23.0,0.0,0.0,0.0,0.0,0.0
59,02323033,23.0,1,11.384615384615385,8.233275926897313,9.171096345514952,17.53076923076923,18.753846153846155,25.02307692307693,21.780282519128885,02323033,23.0,0.0,0.0,0.0,0.0,0.0
60,02323034,23.0,1,13.23076923076923,8.307692307692308,8.542550472783033,18.97692307692308,19.207692307692312,27.27692307692308,21.780282519128885,02323034,23.0,0.0,0.0,0.0,0.0,0.0
61,02323038,23.0,1,276.3076923076923,73.23327592689732,7.795553283925377,18.04641057474624,20.101066897347074,25.138461538461534,25.0,02323038,23.0,27461.0,26815.0,0.0,0.0,0.0
62,02323042,23.0,1,9.384615384615385,5.540968234589621,9.171096345514952,18.099999999999998,21.723076923076924,25.88461538461538,21.780282519128885,02323042,23.0,0.0,0.0,0.0,0.0,0.0
63,02323043,23.0,1,13.923076923076923,5.617891311512698,9.171096345514952,19.369230769230768,21.530769230769234,24.89230769230769,21.780282519128885,02323043,23.0,0.0,0.0,0.0,0.0,0.0
64,02323044,23.0,1,251.6153846153846,62.61789131151269,19.859315103501146,18.04641057474624,20.101066897347074,24.568234505862414,22.74615384615385,02323044,23.0,0.0,6269.0,21388.0,19964.0,18211.0
65,02323046,23.0,1,22.692307692307693,7.464045157666543,9.171096345514952,20.307692307692307,22.62307692307692,28.184615384615384,21.780282519128885,02323046,23.0,0.0,0.0,0.0,0.0,0.0
66,02323047,23.0,1,116.53846153846153,36.69230769230769,10.360337337081525,18.04641057474624,20.101066897347074,25.146153846153844,24.453846153846158,02323047,23.0,12173.0,11802.0,0.0,0.0,0.0
67,02323048,23.0,1,14.384615384615385,8.617891311512697,9.171096345514952,16.95384615384615,19.353846153846153,26.96923076923077,21.780282519128885,02323048,23.0,0.0,0.0,0.0,0.0,0.0
68,02323049,23.0,1,11.538461538461538,8.233275926897313,9.171096345514952,18.3,21.96923076923077,26.592307692307696,21.780282519128885,02323049,23.0,0.0,0.0,0.0,0.0,0.0
69,02323050,23.0,1,14.0,9.848660542281928,9.171096345514952,18.338461538461537,19.053846153846152,26.6,21.780282519128885,02323050,23.0,0.0,0.0,0.0,0.0,0.0
70,02323051,23.0,1,270.15384615384613,57.38461538461539,26.153846153846153,18.04641057474624,20.101066897347074,24.568234505862414,22.969230769230766,02323051,23.0,1.0,0.0,27791.0,24532.0,19880.0
71,02323052,23.0,1,12.692307692307692,8.464045157666543,8.542550472783033,19.16923076923077,21.76923076923077,26.86923076923077,21.780282519128885,02323052,23.0,0.0,0.0,0.0,0.0,0.0
72,02323056,23.0,1,16.0,8.925583619205005,9.171096345514952,19.192307692307693,22.076923076923077,27.299999999999997,21.780282519128885,02323056,23.0,0.0,0.0,0.0,0.0,0.0
73,02323058,23.0,1,10.538461538461538,6.156352849974236,9.171096345514952,19.23846153846154,22.01538461538462,27.715384615384615,21.780282519128885,02323058,23.0,0.0,0.0,0.0,0.0,0.0
74,02323059,23.0,1,193.75,18.008146762416267,37.75,18.046410574746247,20.101066897347078,24.568234505862417,26.037499999999998,02323059,23.0,10414.0,8164.0,8080.0,7232.0,6064.0
75,02323060,23.0,1,13.846153846153847,10.617891311512697,9.171096345514952,18.06153846153846,19.430769230769233,26.184615384615384,21.780282519128885,02323060,23.0,0.0,0.0,0.0,0.0,0.0
76,02323061,23.0,1,18.384615384615383,11.694814388435775,8.542550472783033,18.26153846153846,19.515384615384615,26.284615384615385,21.780282519128885,02323061,23.0,0.0,0.0,0.0,0.0,0.0
77,02323065,23.0,1,18.923076923076923,7.464045157666543,8.542550472783033,18.93846153846154,22.538461538461533,27.49230769230769,21.780282519128885,02323065,23.0,0.0,0.0,0.0,0.0,0.0
78,02323066,23.0,1,18.615384615384617,8.925583619205005,8.619473549706111,19.884615384615383,22.984615384615385,28.71538461538462,21.780282519128885,02323066,23.0,0.0,0.0,0.0,0.0,0.0
79,02323067,23.0,1,17.53846153846154,11.54096823458962,8.542550472783033,19.799999999999997,22.023076923076925,28.207692307692305,21.780282519128885,02323067,23.0,0.0,0.0,0.0,0.0,0.0
80,02323070,23.0,1,22.923076923076923,9.617891311512697,9.171096345514952,19.700000000000003,22.5,28.83846153846154,21.780282519128885,02323070,23.0,0.0,0.0,0.0,0.0,0.0
81,02323071,23.0,1,200.69230769230768,51.310199003820394,9.898798875543063,18.04641057474624,20.101066897347074,24.923076923076923,24.192307692307693,02323071,23.0,20702.0,17468.0,0.0,0.0,0.0
82,02323072,23.0,1,10.76923076923077,8.156352849974237,9.171096345514952,17.73846153846154,21.407692307692308,26.26153846153846,21.780282519128885,02323072,23.0,0.0,0.0,0.0,0.0,0.0
83,02323073,23.0,1,12.23076923076923,7.617891311512698,8.542550472783033,16.7,20.99230769230769,26.63076923076923,21.780282519128885,02323073,23.0,0.0,0.0,0.0,0.0,0.0
84,02323074,23.0,1,22.0,13.002506696128082,9.171096345514952,19.799999999999997,22.792307692307695,28.184615384615384,21.780282519128885,02323074,23.0,0.0,0.0,0.0,0.0,0.0
85,02323075,23.0,1,246.3846153846154,61.54096823458962,4.461538461538462,18.04641057474624,20.101066897347074,26.33846153846154,25.900000000000002,02323075,23.0,27859.0,25118.0,0.0,0.0,0.0
86,02323076,23.0,1,435.15384615384613,63.387122080743474,31.846153846153847,18.04641057474624,20.101066897347074,24.568234505862414,23.707692307692312,02323076,23.0,0.0,22.0,44487.0,43632.0,36287.0
87,02323077,23.0,1,17.846153846153847,10.079429773051158,9.171096345514952,19.284615384615385,20.115384615384617,28.315384615384616,21.780282519128885,02323077,23.0,0.0,0.0,0.0,0.0,0.0
88,02323078,23.0,1,19.1,10.2,9.171096345514952,20.81,23.119999999999997,29.4,21.780282519128885,02323078,23.0,0.0,0.0,0.0,0.0,0.0
89,02323079,23.0,1,18.0,7.4,9.17109634551495,20.64,23.02,28.76,21.780282519128885,02323079,23.0,0.0,0.0,0.0,0.0,0.0
90,02323080,23.0,1,218.2,64.8,8.6,18.046410574746247,20.101066897347078,26.28,22.880000000000003,02323080,23.0,4854.0,3085.0,2645.0,2478.0,1760.0
91,02323081,23.0,1,294.8,93.8,14.2,18.046410574746247,20.101066897347078,26.580000000000002,23.28,02323081,23.0,6167.0,3944.0,4084.0,3814.0,3036.0
92,02323082,23.0,1,8.0,4.5,9.17109634551495,18.046410574746247,20.101066897347078,24.568234505862414,4.15,02323082,23.0,0.0,0.0,0.0,0.0,13.0
93,02727006,27.0,1,2.2,13.62932834469857,9.171096345514952,14.904641057474624,13.780000000000001,15.95,21.780282519128885,02727006,27.0,0.0,0.0,0.0,0.0,0.0
94,02727007,27.0,1,2.4166666666666665,13.193822541387563,9.171096345514952,16.0,16.616666666666667,18.633333333333333,21.780282519128885,02727007,27.0,0.0,0.0,0.0,0.0,0.0
95,02727008,27.0,1,4.076923076923077,13.181419811255065,9.171096345514952,17.69587773651894,18.007774376719006,18.715384615384615,18.06153846153846,02727008,27.0,156.0,103.0,7.0,0.0,0.0
96,02727011,27.0,1,9.923076923076923,14.258342888178142,9.171096345514952,18.89230769230769,20.523076923076925,24.0,21.780282519128885,02727011,27.0,0.0,0.0,0.0,0.0,0.0
97,02727012,27.0,1,16.384615384615383,15.02757365740891,8.542550472783033,19.138461538461538,20.261538461538464,23.62307692307693,21.780282519128885,02727012,27.0,0.0,0.0,0.0,0.0,0.0
98,02727014,27.0,1,1.2307692307692308,12.873727503562757,9.171096345514952,14.084063165345576,12.923076923076923,12.538461538461538,21.780282519128885,02727014,27.0,0.0,0.0,0.0,0.0,0.0
99,02727020,27.0,1,1.9230769230769231,13.02757365740891,9.171096345514952,13.153846153846153,13.138461538461538,14.123076923076923,21.780282519128885,02727020,27.0,0.0,0.0,0.0,0.0,0.0
100,02727022,27.0,1,6.142857142857143,15.032587049665079,9.171096345514952,17.914285714285715,20.82857142857143,24.014285714285712,21.780282519128885,02727022,27.0,0.0,0.0,0.0,0.0,0.0
101,02727024,27.0,1,2.2222222222222223,15.032587049665077,9.171096345514952,17.700000000000003,17.833333333333332,18.659607667969425,21.780282519128885,02727024,27.0,0.0,0.0,0.0,0.0,0.0
102,02727026,27.0,1,75.85714285714286,11.732906885522903,6.501898433792121,18.046410574746247,20.101066897347078,24.568234505862417,22.2,02727026,27.0,5369.0,6408.0,0.0,0.0,0.0
103,02727027,27.0,1,11.23076923076923,13.79680442663968,9.171096345514952,18.353846153846156,21.415384615384617,26.676923076923078,21.780282519128885,02727027,27.0,0.0,0.0,0.0,0.0,0.0
104,02727030,27.0,1,2.230769230769231,11.948143884357751,9.171096345514952,14.076923076923077,14.084615384615384,13.330769230769231,21.780282519128885,02727030,27.0,0.0,0.0,0.0,0.0,0.0
105,02727035,27.0,1,3.0,11.023276464046484,9.171096345514952,17.714285714285715,18.02857142857143,20.228571428571428,21.780282519128885,02727035,27.0,0.0,0.0,0.0,0.0,0.0
106,02727041,27.0,1,9.307692307692308,13.255836192050058,9.171096345514952,17.73846153846154,22.061538461538458,26.36923076923077,21.780282519128885,02727041,27.0,0.0,0.0,0.0,0.0,0.0
107,02727045,27.0,1,8.384615384615385,13.025066961280828,9.171096345514952,18.046153846153846,21.884615384615383,25.83076923076923,21.780282519128885,02727045,27.0,0.0,0.0,0.0,0.0,0.0
108,02727046,27.0,1,9.0,15.032587049665077,9.17109634551495,16.0,22.3,27.8,21.780282519128885,02727046,27.0,0.0,0.0,0.0,0.0,0.0
