SCHOOL_NUMBER,ELIGIBLE_TO_GRAD_COUNT,GRAD_COUNT,GRADUATION_RATE,HONOURS_GRAD_COUNT,HONOURS_GRADUATION_RATE,Unnamed: 0,MINCODE,DISTRICT_NUMBER_x,NUM_OF_SCHOOLS_IN_DATA_LEVEL,TOTAL_CLASSES,CLASSES_WITH_ED_ASSIST,TOTAL_CLASSES_GREATER_30,AVG_CLASS_SIZE_K,AVG_CLASS_SIZE_1_3,AVG_CLASS_SIZE_4_7,AVG_CLASS_SIZE_8_12,DISTRICT_NUMBER_y,GRADE_8,GRADE_9,GRADE_10,GRADE_11,GRADE_12
2222027,42.7313432835821,41.014925373134325,95.82089552238806,17.26865671641791,40.65671641791045,42,2222027,22.0,1,63.69230769230769,16.01002678451233,6.887682085356506,18.04641057474624,20.101066897347074,23.20280530859421,20.49230769230769,22.0,2655.0,3005.0,3144.0,2950.0,2527.0
2323005,15.585365853658535,14.439024390243905,92.6829268292683,3.2926829268292686,20.170731707317074,47,2323005,23.0,1,8.0,8.0,9.17109634551495,18.046410574746247,20.101066897347078,24.568234505862414,21.4,23.0,0.0,0.0,67.0,37.0,67.0
2323028,101.64444444444445,100.15555555555555,98.6,46.64444444444445,43.488888888888894,54,2323028,23.0,1,158.25,21.129073381208133,8.25,18.046410574746247,20.101066897347078,24.568234505862414,23.55,23.0,8110.0,6613.0,5307.0,5127.0,4240.0
2323044,218.57142857142856,212.22619047619045,96.79761904761904,102.76190476190477,41.77380952380953,64,2323044,23.0,1,251.61538461538458,62.617891311512686,19.859315103501142,18.04641057474624,20.101066897347074,24.568234505862414,22.74615384615385,23.0,0.0,6269.0,21388.0,19964.0,18211.0
2323051,249.7439024390244,245.8292682926829,98.42682926829269,122.53658536585364,44.47560975609756,70,2323051,23.0,1,270.15384615384613,57.384615384615394,26.153846153846153,18.04641057474624,20.101066897347074,24.568234505862414,22.96923076923077,23.0,1.0,0.0,27791.0,24532.0,19880.0
2323059,144.02439024390245,143.3658536585366,99.51219512195122,90.39024390243902,62.04878048780488,74,2323059,23.0,1,193.75,18.008146762416263,37.75,18.046410574746247,20.101066897347078,24.568234505862414,26.0375,23.0,10414.0,8164.0,8080.0,7232.0,6064.0
2323076,308.86746987951807,301.3734939759036,97.02409638554217,170.07228915662648,48.325301204819276,86,2323076,23.0,1,435.1538461538461,63.38712208074347,31.84615384615385,18.04641057474624,20.101066897347074,24.568234505862414,23.70769230769231,23.0,0.0,22.0,44487.0,43632.0,36287.0
2323080,79.57692307692308,78.80769230769229,98.8846153846154,47.615384615384606,57.03846153846154,90,2323080,23.0,1,218.2,64.8,8.6,18.046410574746247,20.101066897347078,26.28,22.880000000000006,23.0,4854.0,3085.0,2645.0,2478.0,1760.0
2323081,135.58333333333334,134.70833333333334,99.04166666666669,107.125,75.33333333333333,91,2323081,23.0,1,294.8,93.8,14.2,18.046410574746247,20.101066897347078,26.58,23.28,23.0,6167.0,3944.0,4084.0,3814.0,3036.0
2727047,83.37209302325581,74.90697674418605,89.06976744186045,28.069767441860467,30.627906976744185,109,2727047,27.0,1,170.57142857142858,10.16147831409433,7.383483626008543,18.046410574746247,20.101066897347078,24.568234505862414,22.985714285714288,27.0,4774.0,6278.0,5941.0,5331.0,4746.0
2727056,78.41666666666667,75.41666666666667,95.91666666666669,26.222222222222218,32.263888888888886,112,2727056,27.0,1,142.84615384615384,17.25834288817814,5.2196524405826725,18.04641057474624,20.101066897347074,24.216831851565303,20.115384615384613,27.0,4213.0,3427.0,7969.0,7748.0,7215.0
2727069,55.26666666666666,47.755555555555546,84.1111111111111,20.422222222222217,32.86666666666667,119,2727069,27.0,1,111.85714285714286,12.451847892617913,6.906027527289988,18.046410574746247,20.101066897347078,24.568234505862414,23.0,27.0,3186.0,3900.0,3773.0,3560.0,2842.0
2727072,113.82857142857141,102.97142857142859,88.48571428571428,47.88571428571429,36.34285714285714,122,2727072,27.0,1,358.0,21.527155874720894,9.97591362126246,18.046410574746247,20.101066897347078,18.25,21.7,27.0,8045.0,6785.0,6003.0,6140.0,5570.0
2828004,105.94736842105264,100.2105263157895,94.26315789473685,47.842105263157904,42.1578947368421,124,2828004,28.0,1,144.53846153846158,39.0,7.092128801431129,18.04641057474624,20.101066897347074,24.568234505862414,22.715384615384608,28.0,17247.0,16759.0,2091.0,2148.0,2063.0
2828034,125.6625,119.725,95.3875,54.8125,38.675,133,2828034,28.0,1,139.23076923076923,33.622904703768874,4.129568106312292,18.04641057474624,20.101066897347074,24.568234505862414,23.907692307692304,28.0,2998.0,2590.0,12255.0,11692.0,11009.0
